Apizaco,Tlax. 241 
Aporo,Mich. 786 
Apozol,Zac. 467 
Apulco,Zac. 346 
Aquila,Mich. 313 
Aquiles Serdan (San Fernando),Tab. 936 
Aquiles Serdan (Santiaguillo),Mich. 351 
Aquiles Serdan,Tamps. 834 
Aquismon,S.L.P. 482 
Aquixtla,Pue. 797 
Aramberri,N.L. 826 
Arandas,Gto. 462 
Arandas,Jal. 348 
Arantepacua,Mich. 423 
Araro,Mich. 451 
Aratichanguio,Gro. 767 
Aratzipu,Gto. 469 
Arbolillo,Ver. 297 
Arcabuz,Tamps. 897 
Arcelia,Gro. 732 
Arena de Hidalgo,Tab. 934 
Areponapuchi,Chih. 635 
Ario de Rayon,Mich. 351 
Ario de Rosales,Mich. 422 
Arivechi,Son. 634 
Arizpe,Son. 634 
Armeria,Col. 313 
Arperos,Gto. 473 
Arreguin de Abajo,Gto. 461 
Arriaga,Chis. 966 
Arroyo Colorado,Gto. 417 
Arroyo del Potrero,Ver. 232 
Arroyo Grande,Gro. 732 
Arroyo Hondo,Jal. 358 
Arroyo Hondo,Ver. 235 
Arroyo Seco,Qro. 487 
Arroyo Zarco,Mex. 718 
Arteaga,Coah. 844 
Arteaga,Mich. 753 
Asientos,Ags. 496 
Asuncion Atoyaquillo,Oax. 953 
Asuncion Ixtaltepec,Oax. 971 
Asuncion Nochixtlan,Oax. 951 
Atacheo de Regalado,Mich. 351 
Atapan,Mich. 354 
Atasta,Camp. 938 
Atemajac de Brizuela,Jal. 326 
Atenango del Rio,Gro. 727 
Atencingo,Pue. 243 
Atengo,Jal. 349 
Atenguillo,Jal. 388 
Atenquique,Jal. 371 
Atequiza,Jal. 376 
Aticama,Nay. 323 
Atil,Son. 637 
Atitalaquia,Hgo. 778 
Atitanac,Zac. 499 
Atlacomulco,Mex. 712 
Atlapexco,Hgo. 789 
Atlatlahuca,Mex. 717 
Atlatlahucan,Mor. 735 
Atliaca,Gro. 754 
Atlixco,Pue. 244 
Atlixtac,Gro. 756 
Atolinga,Zac. 437 
Atongo de Abajo,N.L. 826 
Atongo,Qro. 442 
Atotonilco (santuario),Gto. 415 
Atotonilco de Tula,Hgo. 778 
Atotonilco El Alto,Jal. 391 
Atotonilco El Bajo,Jal. 377 
Atotonilco El Grande,Hgo. 774 
Atoyac de Alvarez,Gro. 742 
Atoyac,Jal. 372 
Atoyatempan,Pue. 224 
Atzitzintla,Pue. 245 
Augusto Gomez Villanueva,Col. 313 
Aurelio Manrique,S.L.P. 845 
Autlan,Jal. 317 
Axochiapan,Mor. 769 
Axotlan,Mex. 55 
Axtla de Terrazas,S.L.P. 489 
Axutla,Pue. 275 
Ayapa,Tab. 914 
Ayoquezco de Aldama,Oax. 951 
Ayotla,Pue. 243 
Ayotlan,Jal. 345 
Ayotoxco de Guerrero,Pue. 233 
Ayotzintepec,Oax. 283 
Ayuquila,Jal. 321 
Ayutla (San Felipe Ayutla),Pue. 243 
Ayutla de los Libres,Gro. 745 
Ayutla,Jal. 316 
Azcapotzalco,D.F. 55 
Azoyu,Gro. 741 
Azumbilla,Pue. 238 
Baborigame,Chih. 649 
Baca,Yuc. 991 
Bacabachi,Son. 642 
Bacadehuachi,Son. 634 
Bacalar,Q.Roo 983 
Bacame Nuevo,Son. 647 
Bacerac,Son. 634 
Bacoachi,Son. 645 
Bacobampo,Son. 647 
Bacum,Son. 644 
Bachajon,Chis. 919 
Bachiniva,Chih. 659 
Bachoco,Sin. 687 
Bachomobampo Numero Dos,Sin. 668 
Badiraguato,Sin. 697 
Bagojo Colectivo Emiliano Zapata,Sin. 668 
Bahia Asuncion,B.C.S. 615 
Bahia Bufadero,Mich. 753 
Bahia de Huatulco(crucesita),Oax. 958 
Bahia Tortugas,B.C.S. 615 
Bahuichivo,Chih. 635 
Bajamar,B.C. 646 
Bajio de Bonillas,Gto. 472 
Bajio de San Jose,Jal. 475 
Bajio de San Nicolas (San Nicol,Zac. 496 
Bajos de Chila,Oax. 954 
Bajos del Ejido,Gro. 781 
Balancan,Tab. 934 
Banamichi,Son. 623 
Banderilla,Ver. 228 
Barra de Cazones,Ver. 784 
Barra de Navidad,Jal. 315 
Barra de Palmas,Ver. 235 
Barra Vieja,Gro. 744 
Barranca (Buenos Aires),Ver. 922 
Barranca de Otates,Jal. 326 
Barranca de Santa Clara (Barranca de Enmedio),Jal. 326 
Barreales,Chih. 656 
Barretos,Gto. 477 
Barrio La Soledad,Pue. 249 
Barron,Gto. 464 
Basaseachi,Chih. 635 
Base Aerea Militar No. 5,Jal. 33 
Basuchil,Chih. 635 
Batamote,Sin. 687 
Batopilas,Chih. 649 
Batuecas,Mich. 438 
Baviacora,Son. 623 
Bavispe,Son. 634 
Becal,Camp. 996 
Bejucos,Mex. 724 
Belen del Refugio,Jal. 346 
Belen,Gto. 413 
Belisario Dominguez,Chis. 962 
Bella Vista del Rio,Qro. 761 
Bellas Fuentes,Mich. 454 
Bellavista,Jal. 387 
Bellavista,Nay. 311 
Benemerito Juarez (Palo Gacho),Oax. 287 
Benito Juarez (Buenavista),B.C.S. 613 
Benito Juarez (Mpio.B. Juarez),,Zac. 467 
Benito Juarez (Mpio.Buenaven,Chih. 636 
Benito Juarez (Mpio.Sombrerete),Zac. 433 
Benito Juarez (San Carlos),Tab. 936 
